Episode,Score,Average Score,Best Score,steps,Model Saved,Epsilon,Dropout,Vehicle Name
0,-15306.320074011348,-15306.320074011348,-inf,55,True,1.0,0.001,Drone0
1,-10353.301435742651,-12829.810754876999,-15306.320074011348,106,True,1.0,0.001,Drone0
2,-9493.38413492381,-11717.668548225935,-12829.810754876999,162,True,1.0,0.001,Drone0
3,-15836.370572956886,-12747.344054408673,-11717.668548225935,213,False,1.0,0.001,Drone0
4,-12405.25057130867,-12678.925357788674,-11717.668548225935,256,False,0.999,0.001,Drone0
5,-1508.7337978774551,-10817.226764470137,-11717.668548225935,272,True,0.983,0.001,Drone0
6,-1512.0391975528428,-9487.914254910522,-10817.226764470137,287,True,0.968,0.001,Drone0
7,-1912.4722125218052,-8540.983999611934,-9487.914254910522,303,True,0.952,0.001,Drone0
8,-2108.7541114886353,-7826.291789820457,-8540.983999611934,319,True,0.9359999999999999,0.001,Drone0
9,-1706.6437889795052,-7214.326989736362,-7826.291789820457,334,True,0.9209999999999999,0.001,Drone0
10,-1919.2863338581585,-6732.959657383797,-7214.326989736362,350,True,0.9049999999999999,0.001,Drone0
11,-1029.2684375288563,-6257.652055729218,-6732.959657383797,366,True,0.8889999999999999,0.001,Drone0
12,-2119.4956461150337,-5939.332331912742,-6257.652055729218,381,True,0.8739999999999999,0.001,Drone0
13,-1614.2427397019505,-5630.397361040543,-5939.332331912742,396,True,0.8589999999999999,0.001,Drone0
14,-1284.0923602934042,-5340.643694324067,-5630.397361040543,411,True,0.8439999999999999,0.001,Drone0
15,-2177.672811057344,-5142.958014119897,-5340.643694324067,427,True,0.8279999999999998,0.001,Drone0
16,-1377.409502865274,-4921.455160516684,-5142.958014119897,443,True,0.8119999999999998,0.001,Drone0
17,-1656.203519542109,-4740.052291573652,-4921.455160516684,459,True,0.7959999999999998,0.001,Drone0
18,-1474.799740902279,-4568.196894169895,-4740.052291573652,475,True,0.7799999999999998,0.001,Drone0
19,-1550.3250478347188,-4417.303301853137,-4568.196894169895,491,True,0.7639999999999998,0.001,Drone0
20,-1277.4997550478247,-4267.78884724336,-4417.303301853137,506,True,0.7489999999999998,0.001,Drone0
21,-929.7846237790894,-4116.061382540439,-4267.78884724336,521,True,0.7339999999999998,0.001,Drone0
22,-1571.2729653828342,-4005.4184078814123,-4116.061382540439,536,True,0.7189999999999998,0.001,Drone0
23,-1176.1001295791873,-3887.5301462854864,-4005.4184078814123,551,True,0.7039999999999997,0.001,Drone0
24,-533.2854315199501,-3753.360357694865,-3887.5301462854864,566,True,0.6889999999999997,0.001,Drone0
25,-1011.723973634915,-3647.91280446179,-3753.360357694865,581,True,0.6739999999999997,0.001,Drone0
26,-1279.510706974895,-3560.1942082585715,-3647.91280446179,596,True,0.6589999999999997,0.001,Drone0
27,-1038.9451401321949,-3470.14959868263,-3560.1942082585715,612,True,0.6429999999999997,0.001,Drone0
28,-806.7807870605451,-3378.3092948335925,-3470.14959868263,626,True,0.6289999999999997,0.001,Drone0
29,-1222.8450783240203,-3306.4604876166068,-3378.3092948335925,640,True,0.6149999999999997,0.001,Drone0
30,-1074.2103396541663,-3234.4524183274957,-3306.4604876166068,655,True,0.5999999999999996,0.001,Drone0
31,-884.1407486605577,-3161.0051786504036,-3234.4524183274957,670,True,0.5849999999999996,0.001,Drone0
32,-771.1576105676841,-3088.5855553751694,-3161.0051786504036,686,True,0.5689999999999996,0.001,Drone0
33,-1170.3013229574792,-3032.1654308922966,-3088.5855553751694,702,True,0.5529999999999996,0.001,Drone0
34,-641.1410554971253,-2963.8504487381488,-3032.1654308922966,716,True,0.5389999999999996,0.001,Drone0
35,-1875.6103236738268,-2933.6215563752507,-2963.8504487381488,731,True,0.5239999999999996,0.001,Drone0
36,-974.0507921117347,-2880.6601843681287,-2933.6215563752507,746,True,0.5089999999999996,0.001,Drone0
37,-1931.3107764595438,-2855.67730521264,-2880.6601843681287,762,True,0.49299999999999955,0.001,Drone0
38,-1051.0115372174216,-2809.4038239819934,-2855.67730521264,777,True,0.47799999999999954,0.001,Drone0
39,-790.8374092192236,-2758.939663612924,-2809.4038239819934,792,True,0.4629999999999995,0.001,Drone0
40,-760.3553739102824,-2710.1937053274937,-2758.939663612924,807,True,0.4479999999999995,0.001,Drone0
41,-1405.023717266538,-2679.1182294212804,-2710.1937053274937,822,True,0.4329999999999995,0.001,Drone0
42,-551.1876821294516,-2629.631472507517,-2679.1182294212804,837,True,0.4179999999999995,0.001,Drone0
43,-636.2616309552338,-2584.327612472238,-2629.631472507517,852,True,0.40299999999999947,0.001,Drone0
44,-710.3462139713113,-2542.6835813944394,-2584.327612472238,867,True,0.38799999999999946,0.001,Drone0
45,-979.9364317691773,-2508.7108172721514,-2542.6835813944394,882,True,0.37299999999999944,0.001,Drone0
46,-694.0921595162937,-2470.1019096603245,-2508.7108172721514,897,True,0.35799999999999943,0.001,Drone0
47,-615.6182418059813,-2431.466833246692,-2470.1019096603245,912,True,0.3429999999999994,0.001,Drone0
48,-692.1488773746237,-2395.9705484329766,-2431.466833246692,927,True,0.3279999999999994,0.001,Drone0
49,-588.7176425358996,-2359.825490315035,-2395.9705484329766,942,True,0.3129999999999994,0.001,Drone0
50,-1411.8905341564894,-2081.9368995179375,-2359.825490315035,957,True,0.2979999999999994,0.001,Drone0
51,-866.5783129378567,-1892.2024370618417,-2081.9368995179375,972,True,0.28299999999999936,0.001,Drone0
52,-850.4900037418571,-1719.3445544382027,-1892.2024370618417,987,True,0.26799999999999935,0.001,Drone0
53,-1391.1233730653728,-1430.4396104403727,-1719.3445544382027,1002,True,0.25299999999999934,0.001,Drone0
54,-634.9077199064081,-1195.032753412327,-1430.4396104403727,1017,True,0.23799999999999932,0.001,Drone0
55,-451.7167750698638,-1173.8924129561756,-1195.032753412327,1031,True,0.2239999999999993,0.001,Drone0
56,-698.9345511902076,-1157.6303200289228,-1173.8924129561756,1046,True,0.2089999999999993,0.001,Drone0
57,-520.2697405427695,-1129.786270589342,-1157.6303200289228,1061,True,0.19399999999999928,0.001,Drone0
58,-500.59844336737837,-1097.6231572269169,-1129.786270589342,1076,True,0.17899999999999927,0.001,Drone0
59,-615.7041976899084,-1075.8043654011249,-1097.6231572269169,1091,True,0.16399999999999926,0.001,Drone0
60,-544.7136784500318,-1048.3129122929624,-1075.8043654011249,1105,True,0.14999999999999925,0.001,Drone0
61,-585.557766045185,-1039.4386988632891,-1048.3129122929624,1119,True,0.13599999999999923,0.001,Drone0
62,-462.2316327755852,-1006.2934185965,-1039.4386988632891,1134,True,0.12099999999999922,0.001,Drone0
63,-441.3594997148038,-982.8357537967571,-1006.2934185965,1148,True,0.1069999999999992,0.001,Drone0
64,-487.3060652386673,-966.9000278956624,-982.8357537967571,1163,True,0.0999999999999992,0.001,Drone0
65,-591.2698212425103,-935.1719680993658,-966.9000278956624,1177,True,0.0999999999999992,0.001,Drone0
66,-529.6320619390032,-918.2164192808403,-935.1719680993658,1192,True,0.0999999999999992,0.001,Drone0
67,-401.3912548147223,-893.1201739862925,-918.2164192808403,1206,True,0.0999999999999992,0.001,Drone0
68,-411.0148766970033,-871.844476702187,-893.1201739862925,1220,True,0.0999999999999992,0.001,Drone0
69,-563.7621619180225,-852.1132189838531,-871.844476702187,1233,True,0.0999999999999992,0.001,Drone0
