Episode,Score,Average Score,Best Score,steps,Model Saved,Epsilon,Dropout,Vehicle Name
0,-25879.765418343715,-25879.765418343715,-inf,174,False,0.9953000000000005,0.001,Drone0
1,-29445.846023972077,-27662.805721157896,-inf,284,False,0.9843000000000017,0.001,Drone0
2,-13917.37287650213,-23080.994772939306,-inf,336,False,0.9791000000000023,0.001,Drone0
3,-28397.723362311757,-24410.17692028242,-inf,447,False,0.9680000000000035,0.001,Drone0
4,-17724.02873971422,-23072.947284168782,-inf,507,True,0.9620000000000042,0.001,Drone0
5,-8066.190355450207,-20571.82112938235,-23072.947284168782,549,True,0.9578000000000046,0.001,Drone0
6,-36565.68985217306,-22856.65951835245,-20571.82112938235,675,False,0.945200000000006,0.001,Drone0
7,-20287.641634290445,-22535.532282844702,-20571.82112938235,785,False,0.9342000000000072,0.001,Drone0
8,-33006.82275211563,-23699.009001652583,-20571.82112938235,899,False,0.9228000000000085,0.001,Drone0
9,-27484.225262869648,-24077.53062777429,-20571.82112938235,1001,False,0.9126000000000096,0.001,Drone0
10,-28653.659835944454,-24354.92006953436,-20571.82112938235,1092,False,0.9035000000000106,0.001,Drone0
11,-70028.14362481791,-28413.149829618946,-20571.82112938235,1268,False,0.8859000000000126,0.001,Drone0
12,-16132.322375504065,-28634.644779519138,-20571.82112938235,1380,False,0.8747000000000138,0.001,Drone0
13,-19340.067558695013,-27728.87919915747,-20571.82112938235,1483,False,0.8644000000000149,0.001,Drone0
14,-12459.565316140155,-27202.432856800056,-20571.82112938235,1527,False,0.8600000000000154,0.001,Drone0
15,-5968.485373772994,-26992.662358632333,-20571.82112938235,1568,False,0.8559000000000159,0.001,Drone0
16,-9498.407230503219,-24285.934096465357,-20571.82112938235,1610,False,0.8517000000000163,0.001,Drone0
17,-10972.050444150063,-23354.374977451316,-20571.82112938235,1647,False,0.8480000000000167,0.001,Drone0
18,-11435.828274766161,-21197.275529716368,-20571.82112938235,1709,False,0.8418000000000174,0.001,Drone0
19,-10101.269234801017,-19458.979926909506,-20571.82112938235,1816,True,0.8311000000000186,0.001,Drone0
20,-10512.396927273614,-17644.85363604242,-19458.979926909506,1921,True,0.8206000000000198,0.001,Drone0
21,-4912.067243752375,-11133.245997935868,-17644.85363604242,1960,True,0.8167000000000202,0.001,Drone0
22,-5374.559361325084,-10057.469696517968,-11133.245997935868,1994,True,0.8133000000000206,0.001,Drone0
23,-14347.040394752643,-9558.166980123733,-10057.469696517968,2098,True,0.8029000000000217,0.001,Drone0
24,-9906.602064930466,-9302.870655002764,-9558.166980123733,2209,True,0.7918000000000229,0.001,Drone0
25,-5912.972415481529,-9297.319359173616,-9302.870655002764,2245,True,0.7882000000000233,0.001,Drone0
26,-12190.684616351215,-9566.547097758417,-9297.319359173616,2346,False,0.7781000000000244,0.001,Drone0
27,-14566.677605100882,-9926.009813853498,-9297.319359173616,2392,False,0.773500000000025,0.001,Drone0
28,-30796.374435050428,-11862.064429881924,-9297.319359173616,2515,False,0.7612000000000263,0.001,Drone0
29,-7625.05468322689,-11614.442974724512,-9297.319359173616,2555,False,0.7572000000000267,0.001,Drone0
30,-15071.945545517716,-12070.397836548922,-9297.319359173616,2605,False,0.7522000000000273,0.001,Drone0
31,-16153.389774153715,-13194.530089589058,-9297.319359173616,2665,False,0.746200000000028,0.001,Drone0
