,0
0,sphere
1,cone
2,sm_skysphere
3,outdoor_steps_01
4,outdoor_steps_01
5,outdoor_steps_01
6,porch_banister_8th_01
7,porch_banister_quart_01
8,floor_half_stairs_01
9,outer_wall_half_win_01
10,porch_corner_01
11,roof_flat_open_01
12,outer_wall_8th_win_01
13,outer_wall_half_01
14,roof_flat_01
15,house_base_quart_01
16,house_base_quart_01
17,outdoor_steps_01
18,porch_pillar_01
19,outdoor_steps_01
20,banister_01
21,outdoor_steps_01
22,outer_wall_half_win_01
23,house_base_quart_01
24,house_base_quart_01
25,house_base_quart_01
26,outer_wall_half_win_01
27,house_base_quart_01
28,outer_wall_half_win_01
29,porch_pillar_01
30,garden_tressel_01
31,garden_tressel_01
32,porch_pillar_01
33,garden_tressel_01
34,porch_pillar_01
35,garden_tressel_01
36,porch_middle_01
37,fan_blades_01
38,fan_base_01
39,floor_half_stairs_01
40,banister_01
41,banister_01
42,staircase_02
43,staircase_extra_banister_01
44,banister_01
45,3
46,6
47,1
48,1
49,3
50,6
51,3
52,1
53,2
54,3
55,7
56,1
57,3
58,5
59,9
60,1
61,banister_01
62,banister_01
63,banister_01
64,banister_01
65,banister_01
66,banister_01
67,banister_roof_angle_01
68,banister_01
69,banister_01
70,banister_01
71,banister_01
72,banister_01
73,banister_01
74,banister_01
75,banister_01
76,banister_01
77,banister_01
78,banister_01
79,banister_01
80,banister_01
81,banister_01
82,banister_01
83,banister_01
84,banister_01
85,banister_01
86,banister_roof_angle_01
87,banister_01
88,banister_01
89,banister_01
90,banister_01
91,banister_end_01
92,banister_end_01
93,banister_end_01
94,banister_end_01
95,banister_end_01
96,banister_end_01
97,banister_end_01
98,banister_roof_angle_01
99,basketball_hoop_01
100,basketball_hoop_01
101,basketball_hoop_01
102,basketball_hoop_01
103,basketball_hoop_01
104,basketball_hoop_01
105,bed_double_01
106,bed_double_02
107,bed_double_01
108,bed_double_02
109,bed_double_02
110,bed_double_02
111,bed_double_01
112,bench_01
113,bench_01
114,bench_01
115,bench_01
116,bench_01
117,bench_01
118,bench_01
119,bench_01
120,bench_01
121,bench_01
122,bench_01
123,bench_01
124,bench_01
125,bench_01
126,bench_01
127,bench_01
128,bench_01
129,bench_01
130,bench_01
131,bench_01
132,bench_01
133,bench_01
134,bench_01
135,bench_01
136,bench_01
137,bench_01
138,bench_01
139,bin_01
140,bin_02
141,bin_02
142,bin_01
143,bin_01
144,bin_02
145,bin_02
146,bin_01
147,birch_01
148,birch_01
149,birch_01
150,birch_01
151,birch_01
152,birch_01
153,birch_01
154,birch_01
155,birch_01
156,birch_01
157,birch_01
158,birch_01
159,birch_01
160,birch_01
161,birch_01
162,birch_01
163,birch_01
164,birch_01
165,birch_01
166,birch_01
167,birch_01
168,birch_01
169,birch_01
170,birch_01
171,birch_01
172,birch_01
173,birch_01
174,birch_01
175,birch_01
176,birch_01
177,birch_01
178,birch_01
179,birch_01
180,birch_01
181,birch_01
182,birch_01
183,birch_01
184,birch_01
185,book_01
186,book_01
187,book_01
188,book_01
189,book_01
